hash,repo_name,filename,lines_added,lines_removed,change_set_max,change_set_avg,code_churn_avg,code_churn_max,hunks_count
5.73E+18,eric-oss-adc-app-engineering,.gitmodules,57,5,26,6,10,40,1
-5.15E+18,eric-oss-adc-app-engineering,Dockerfile,2,0,26,6,2,2,1
-1.55E+18,eric-oss-adc-app-engineering,bob,6,3,26,6,1,3,1
8.13E+18,eric-oss-adc-app-engineering,testSuiteDeploy.Jenkinsfile,0,6,26,6,-6,-6,1
-1.95E+18,eric-oss-adc-app-engineering,ruleset2.0.yaml,14,0,26,6,14,14,1
-8.37E+18,eric-oss-adc-app-engineering,copy_report_k6.sh,44,0,26,6,44,44,1
6.72E+18,eric-oss-adc-app-engineering,deploy_testsuite.sh,57,0,26,6,57,57,1
6.45E+18,eric-oss-adc-app-engineering,Dockerfile,5,0,26,6,5,5,1
1.35E+17,eric-oss-adc-app-engineering,k6-load-testing-results_rev3.json,14,0,26,6,14,14,1
-7.92E+17,eric-oss-adc-app-engineering,docker-compose.yml,38,0,26,6,38,38,1
8.23E+18,eric-oss-adc-app-engineering,grafana-dashboard.yaml,13,0,26,6,13,13,1
1.03E+18,eric-oss-adc-app-engineering,grafana-datasource.yaml,9,0,26,6,2000,9,1
-3.51E+18,eric-oss-adc-app-engineering,grafana-k6-docker-compose.yml,12,0,26,6,12,12,1
-3.96E+18,eric-oss-adc-app-engineering,ADCApi.js,26,0,26,6,26,26,1
-4.02E+18,eric-oss-adc-app-engineering,APIEndpoint.js,7,0,26,6,7,7,1
-8.92E+18,eric-oss-adc-app-engineering,ves-event-batch.json,5,2,26,6,2,4,1.5
5.03E+18,eric-oss-adc-app-engineering,ves-event.json,22,0,26,6,22,22,1
3.40E+18,eric-oss-adc-app-engineering,Constants.js,30,1,26,6,10,24,1
-4.36E+18,eric-oss-adc-app-engineering,ObjectBuilder.js,32,0,26,6,11,28,1
8.90E+18,eric-oss-adc-app-engineering,test_cs_service.js,65,0,26,6,32,65,0.5
-5.99E+18,eric-oss-adc-app-engineering,start-k6.sh,65,0,26,6,32,65,0.5
-7.45E+18,eric-oss-adc-app-engineering,.gitmodules,27,0,26,6,14,27,0.5
2.38E+17,eric-oss-adc-app-engineering,testSuiteDeploy.Jenkinsfile,27,0,26,6,14,27,0.5
2.96E+18,eric-oss-adc-app-engineering,ADCApi.js,12,0,26,6,4,7,1
1.23E+18,eric-oss-adc-app-engineering,APIEndpoint.js,75,4,26,6,24,61,2
3.69E+18,eric-oss-adc-app-engineering,ves-event-batch-neg.json,72,33,26,6,10,39,2.5
1.47E+18,eric-oss-adc-app-engineering,ves-event-neg.json,2,1,26,6,0,1,1
7.27E+18,eric-oss-adc-app-engineering,Constants.js,0,0,26,6,0,0,0
-8.21E+18,eric-oss-adc-app-engineering,ObjectBuilder.js,0,0,26,6,0,0,0
-1.33E+18,eric-oss-adc-app-engineering,test_cs_service.js,7,0,26,6,7,7,1
8.42E+18,eric-oss-adc-app-engineering,testSuiteDeploy.Jenkinsfile,8,0,26,6,8,8,1
6.94E+18,eric-oss-adc-app-engineering,.gitmodules,9,0,26,6,9,9,1
-6.37E+18,eric-oss-adc-app-engineering,bob,34,0,26,6,34,34,1
-3.74E+18,eric-oss-adc-app-engineering,ObjectBuilder.js,6,0,26,6,6,6,1
6.53E+18,eric-oss-adc-app-engineering,.gitignore,33,0,26,6,33,33,1
-8.95E+17,eric-oss-adc-app-engineering,.gitmodules,23,0,26,6,23,23,1
-3.38E+18,eric-oss-adc-app-engineering,Dockerfile,5,0,26,6,5,5,1
-8.58E+18,eric-oss-adc-app-engineering,adc-app-engineering-pipeline.iml,5,0,26,6,5,5,1
1.05E+18,eric-oss-adc-app-engineering,pom.xml,5,0,26,6,5,5,1
-5.32E+17,eric-oss-adc-app-engineering,K6FunctionalTests.Jenkinsfile,5,0,26,6,5,5,1
-6.15E+18,eric-oss-adc-app-engineering,Dockerfile,5,0,26,6,5,5,1
6.86E+18,eric-oss-adc-app-engineering,adc-k6-functional.iml,5,0,26,6,5,5,1
-2.63E+18,eric-oss-adc-app-engineering,adc-k6pod.yaml,5,0,26,6,5,5,1
-4.75E+17,eric-oss-adc-app-engineering,eric-adc-k6-policy.yaml,5,0,26,6,5,5,1
-1.05E+17,eric-oss-adc-app-engineering,docker-compose.yaml,5,0,26,6,5,5,1
-3.67E+17,eric-oss-adc-app-engineering,pom.xml,5,0,26,6,5,5,1
9.05E+18,eric-oss-adc-app-engineering,copyK6Report.sh,5,0,26,6,5,5,1
-1.78E+17,eric-oss-adc-app-engineering,deployK6Pod.sh,5,0,26,6,5,5,1
1.39E+18,eric-oss-adc-app-engineering,runK6.sh,5,0,26,6,5,5,1
-7.87E+18,eric-oss-adc-app-engineering,verifyResults.py,5,0,26,6,5,5,1
-8.93E+17,eric-oss-adc-app-engineering,ADCApi.js,5,0,26,6,5,5,1
8.99E+18,eric-oss-adc-app-engineering,APIEndpoint.js,5,0,26,6,5,5,1
-1.41E+18,eric-oss-adc-app-engineering,ves-event-batch-neg.json,5,0,26,6,5,5,1
-9.54E+17,eric-oss-adc-app-engineering,ves-event-batch.json,5,0,26,6,5,5,1
-8.58E+18,eric-oss-adc-app-engineering,ves-event-neg.json,5,0,26,6,5,5,1
6.86E+18,eric-oss-adc-app-engineering,ves-event.json,5,0,26,6,5,5,1
4.53E+18,eric-oss-adc-app-engineering,Constants.js,5,0,26,6,5,5,1
-8.03E+18,eric-oss-adc-app-engineering,ObjectBuilder.js,5,0,26,6,5,5,1
4.51E+18,eric-oss-adc-app-engineering,test_cs_service.js,5,0,26,6,5,5,1
-2.63E+18,eric-oss-adc-app-engineering,testSuiteDeploy.Jenkinsfile,5,0,26,6,5,5,1
4.53E+18,eric-oss-adc-app-engineering,ObjectBuilder.js,5,0,26,6,5,5,1
